"siteName","X","Y"
"Outokummun vanha kaivosalue ja",600941.7532,6955968.1786
"Saloisten kellotapuli",378276.9043,7171867.7222
"Kangasalan näkötornit",344913.6858,6825819.5739
"Kangasalan näkötornit",346811.1822,6814940.1773
"Kangasalan näkötornit",348236.0041,6811624.0652
"Kangasalan näkötornit",343379.1804,6818238.8634
"Salpalinja",562237.0237,6822025.8069
"Salpalinja",562370.5716,6821912.2271
"Salpalinja",562576.4565,6821544.2017
"Salpalinja",562902.7025,6821316.7424
"Salpalinja",563036.713,6821026.6932
"Salpalinja",563459.1407,6821302.5873
"Kälviän kirkonkylä",325735.3172,7086286.8116
"Hangon rautatieasema",274038.5445,6639058.6033
"Suuri Rantatie",283466.1884,6702129.8203
"Pyynikin näkötorni",326059.3978,6822437.922
"Sauvon osuuskauppa ja apteekki",262499.306,6697447.142
"Sauvon osuuskauppa ja apteekki",262445.6322,6697263.2534
"Lapinkylän tuulimyllyt",411594.8623,7193936.1543
"Lapinkylän tuulimyllyt",411783.8082,7193837.8518
"Lapinkylän tuulimyllyt",412897.2989,7192769.8194
"Lapinkylän tuulimyllyt",413446.3258,7192220.056
"Uudenkaupungin rauhan rajakive",537842.2289,6708962.9857
"Uudenkaupungin rauhan rajakive",537771.4258,6709193.0955
"Uudenkaupungin rauhan rajakive",536988.1639,6711617.1821
"Uudenkaupungin rauhan rajakive",537155.2385,6708563.2816
"Uudenkaupungin rauhan rajakive",534416.4233,6710203.3947
"Uudenkaupungin rauhan rajakive",537095.3125,6717460.4814
"Uudenkaupungin rauhan rajakive",535815.822,6719059.8385
"Uudenkaupungin rauhan rajakive",541493.5318,6720719.198
"Uudenkaupungin rauhan rajakive",544012.5136,6720279.3859
"Uudenkaupungin rauhan rajakive",540673.9256,6706404.9519
"Rapasaaren rautatieasema",563595.4999,6771061.8651
"Lempäälän rautatieasema",326234.9948,6802001.1233
"Riipan rautatiepysäkki",335378.2686,7086645.044
"Seinäjoen rautatieasema-alue",288210.8607,6969024.9478
"Seinäjoen rautatieasema-alue",288278.8838,6969036.676
"Seinäjoen rautatieasema-alue",288346.915,6969088.7574
"Seinäjoen rautatieasema-alue",288371.3076,6969003.8321
"Lielahden rautatieasema",323439.5821,6824049.8826
"Struven astemittausketju",478055.0601,6682261.587
"Struven astemittausketju",445608.3524,6730316.5957
"Struven astemittausketju",423019.0989,6866886.8134
"Struven astemittausketju",370155.0803,7303890.2184
"Struven astemittausketju",353729.9861,7368089.8517
"Struven astemittausketju",327524.5836,7624935.9267
"Täyssinän rauhan rajakivet",657601.1623,7138508.6346
"Täyssinän rauhan rajakivet",627445.0675,7266678.7463
"Täyssinän rauhan rajakivet",662867.6901,7091029.7687
"Tornionlaakson raudanvalmistus",386486.8582,7394360.9915
"Hilding Ekelundin arkkitehtuur",314358.91,6663428.5824
"Museosilta",206051.7635,6726873.2401
"Strömstadin rauhan rajakivet",511512.6209,7760814.7725
"Kemin ja Tornion vanhan rajan",411407.6887,7405421.7312
"Kemin ja Tornion vanhan rajan",413179.5222,7374302.7589
"Kemin ja Tornion vanhan rajan",387116.6822,7342872.4891
"Kemin ja Tornion vanhan rajan",401940.7923,7450102.2697
"Kemin ja Tornion vanhan rajan",382607.1861,7296360.1194
"Kemin ja Tornion vanhan rajan",346047.623,7565337.1437
"Kemin ja Tornion vanhan rajan",364842.7833,7567318.7058
"Kemin ja Tornion vanhan rajan",379869.0766,7539539.8869
"Kemin ja Tornion vanhan rajan",385388.1285,7503640.4112
"Kemin ja Tornion vanhan rajan",390926.9417,7472223.7146
"Kemin ja Tornion vanhan rajan",375129.0882,7288309.0155
