siteName,X,Y
Olavinlinna,600024.334179815,6860489.15733214
Tuomiokapituli,598924.775580479,6861261.84005481
Rauhalinna,596303.809233471,6866002.17517335
Piharakennus,596289.35426842,6866033.22885246
Päärakennus,596988.535897964,6865705.0456532
"Tekninen tark.keskus, toimisto Tulilanka",531896.31103867,6973711.29129519
"Geologinen tutkimuskeskus, Trotyli",531848.328470711,6973724.28864961
"Autotalli, korjaamo, Nalli",531790.170530892,6973731.80711925
Johtajan asunto (nyk. toimisto),534988.139832511,6974467.26741844
Kurssikeskus ent. asuntola,535005.060305006,6974522.31621342
Koulu,534952.080755405,6974517.9870946
Talousrakennus,535053.03462712,6974530.98444903
Sauna ja pesula,535048.078874698,6974560.17850666
Vanha sairaala,533867.15028385,6973683.44696282
Kirurginen osasto,533883.510038934,6973618.35021308
Talousrakennus,533819.555270574,6973650.61364595
Koulu (nyk. virastorakennus I),535111.36572967,6973213.5126166
Asuntola (nyk. virastorakennus II),535152.702147126,6973217.81174152
Johtajan asunto (nyk. virastorakennus III),535136.004312426,6973168.53177232
ATK-keskus Kukkola,532115.559792655,6973644.98479169
Yliopiston kuvalaitos ja AV-keskus,532060.362110938,6973671.96929907
Huoltorakennus,532001.272390713,6973687.30617729
ATK-keskus Kanala,532135.094197792,6973693.30495626
Yliopiston tekninen keskus,532087.037417236,6973717.17009858
Farmasian koeosasto,532019.372018943,6973749.60349685
"Tiukanlinna, päiväkoti",532150.546910003,6973872.6784453
Lääninhallitus,535024.05048442,6973265.49203634
Maanmittauskonttori,535076.032286862,6973251.49488541
Maaherran residenssin talousrakennus,534977.073909466,6973238.49753099
"Potilasosastot 1,2",531672.205482394,6976338.04662676
"Potilasosastot 3,4",531717.879213949,6976339.23638459
"Potilasosastott 5,6",531782.353470499,6976328.23862315
Hallintorakennus,531651.401217235,6976281.25818588
"Potilasosastot 9,10",531656.868212003,6976213.71193473
"Potilasosastot 7,8",531698.138662704,6976205.7335587
Entinen terapiarakennus,531776.358741696,6976190.29670083
Autotalli,531770.355767049,6976267.27103293
Kellari,531727.774227104,6975747.89675006
Entinen tilanhoitajan asuinrakennus,531740.373877188,6975740.47826007
Tuparakennus (nyk. toimisto),531714.374730123,6975713.48375472
Aitta,531748.776392526,6975700.92631075
Pesijöiden asuinrakennus,531456.477703922,6976158.30321301
Pesula,531422.743954908,6976190.86658483
Tuulimylly,531601.959134836,6975717.94284709
Asuinrakennus,535085.028502989,6973386.82733889
Koulurakennus,702680.543958641,6966203.96938879
Pielisjoenlinna,642254.980466054,6944090.66048867
