"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1",,
"Alahärmä","Yliviitalan liikunta-ja hiihtokeskus",7013853,3291529,"63.166861624","22.856781140"
"Ikaalinen","Vatulan liikuntakeskus",6852962,3285135,"61.723350681","22.931097101"
"Lapua","Simpsiön laskettelukeskus",6990283,3294204,"62.957473598","22.939276667"
"Hanko","Lill-Märsan",6643689,3273784,"59.843632046","22.960321479"
"Lapua","Simpsiön kilpahiihtokeskus",6990978,3295954,"62.964679740","22.972819518"
"Hanko","Plagen-Långsanda",6641570,3274952,"59.825296013","22.983392880"
"Mouhijärvi","Alkeislaskettelurinne",6829178,3287377,"61.511700260","23.000999811"
"Ikaalinen","Mainingin laskettelukeskus",6858747,3289636,"61.777633337","23.009309871"
"Ikaalinen","Uimapaikka",6858796,3291398,"61.779037631","23.042557470"
"Närpiö","Tjärlax simplats",6939480,3202046,"62.440294981","21.221331892"
"Vaasa","Paratiisisaari",7010123,3227113,"63.090579131","21.589859110"
"Vaasa","Hietasaari",7010480,3227325,"63.093927594","21.593443311"
"Kauhajoki","Monitoimikeskus asuuli",6935393,3256108,"62.443162666","22.270303194"
"Hanko","Lill-Märsan",6643537,3273659,"59.842202750","22.958262654"
"Ähtäri","Mustikkavuoren sauna",6942264,3348317,"62.553848889","24.047465790"
"Vihti","Vihdin pirtin ulkoilu- ja leirikeskus",6710758,3358864,"60.482819790","24.429676515"
"Pornainen","Kotojärven avantouintipaikka",6705557,3412005,"60.451280778","25.398027262"
"Säkylä","Katismaan avantouintikeskus",6779812,3247513,"61.046222080","22.320925436"
"Vammala","Ellivuoren pujottelukeskus",6816757,3289612,"61.401725931","23.056980260"
"Kokkola","Valkohiekka",7095721,3307832,"63.908686884","23.080138550"
"Kokkola","Punakallio",7093758,3308792,"63.891645947","23.102090007"
"Punkalaidun","Porttikallion aluehiihtokeskus",6782091,3291737,"61.092495211","23.135018126"
"Kangaslampi","Huhtaus veneidenlaskupaikka",6905189,3553065,"62.248642601","28.017793782"
"Närpiö","Töjby simplats",6961771,3199982,"62.637598991","21.142478884"
"Maalahti","Bergö friluftsområde",6998907,3204047,"62.972351238","21.155736300"
"Närpiö","Norrnäs simplats",6954064,3200747,"62.569430376","21.170861963"
"Närpiö","Fagerö simplats",6958844,3202720,"62.613688847","21.200697334"
"Närpiö","Eskilsö simplats",6933048,3201074,"62.382099327","21.213735873"
"Närpiö","Tjärlax simplats",6939480,3202046,"62.440294981","21.221331892"
"Mustasaari","Bulleråsens badplats",7020996,3209881,"63.174229225","21.231141505"
"Närpiö","Varvholmens simplats",6938373,3202869,"62.431071044","21.239096050"
"Mustasaari","Södra Vallgrunds badplats",7020390,3211926,"63.170459739","21.272609052"
"Mustasaari","Björköby badplats",7041607,3215294,"63.362545719","21.301784404"
"Närpiö","Skrattnäs simplats",6925893,3207290,"62.323145873","21.345355865"
"Närpiö","Klubbskatans simplats",6930508,3208438,"62.365250835","21.359642102"
"Mustasaari","Replot badplats",7026901,3221185,"63.235879254","21.444364306"
"Vaasa","Öjberget",7004285,3225601,"63.037294687","21.569812883"
"Vaasa","Paratiisisaari",7010123,3227113,"63.090579131","21.589859110"
"Vaasa","Hietasaari",7010480,3227325,"63.093927594","21.593443311"
"Närpiö","Pörtom utebassäng",6967602,3224576,"62.708875724","21.610250619"
"Kristiinankaupunki","Pyhävuoren laskettelukeskus",6920176,3221439,"62.282889685","21.626210349"
"Kristiinankaupunki","Pyhävuoren kilpahiihtokeskus",6920096,3221602,"62.282296262","21.629464188"
"Mustasaari","Köklot badplats",7030587,3230865,"63.276181046","21.629967675"
"Vaasa","Ahvensaari",7008282,3229337,"63.075805744","21.636729478"
"Merikarvia","Lankosken virksitysalue",6867777,3218895,"61.812890188","21.660397565"
"Mustasaari","Karperö badplats",7017549,3233541,"63.161710393","21.704457065"
"Maalahti","Törn utebassäng",6988154,3232276,"62.898178340","21.727241246"
"Inkoo","Stävö simplats",6663475,3345391,"60.054004666","24.221134168"
"Pyhäjoki","Ampumahiihtoalue",7152531,3366782,"64.445210106","24.229118783"
"Toholampi","Hiihtokeskus",7076838,3364375,"63.766076321","24.247121028"
"Pyhäjoki","Vauhtipakka",7155200,3369443,"64.470154466","24.281946913"
"Tyrnävä","Uimapaikka suutarinjärvi",7170794,3448601,"64.631203892","25.921625374"
"Pyhäjärvi","Pyhäsalmen kuntorata",7064106,3447965,"63.674259435","25.945295736"
"Leivonmäki","Rutalahden vierasvenesatama",6876486,3445728,"61.990910886","25.961269579"
"Rantsila","Uimapaikka (Järvitalonjärvi)",7153206,3451047,"64.473833496","25.978682908"
"Tammisaari","Grabbskog simplats",6661551,3298166,"60.016254828","23.376902971"
"Tammisaari","Trollböle simplats",6653391,3297805,"59.942982565","23.378446099"
"Nokia","Tupsuvuoren hiihtokeskus",6821346,3308105,"61.452407748","23.397702079"
"Tammisaari","Västerby skidcentrum",6658615,3299699,"59.990704620","23.407192566"
"Tammisaari","Ramsholmens simplats",6655894,3300449,"59.966694155","23.423236987"
"Tammisaari","Siminrättningens badplats",6656868,3300923,"59.975649034","23.430766579"
"Tammisaari","Bajons simplats",6648058,3300378,"59.896462854","23.429530277"
"Tammisaari","Sjövik simplats",6658667,3301459,"59.992024046","23.438613606"
"Vimpeli","Uimapaikka/Sääksjärvi",7016704,3347461,"63.220440530","23.962592965"
"Inkoo","Kby skidskytteområde",6664757,3332116,"60.060275604","23.982117496"
"Tornio","Nivavaaran hiihtokeskus",7339988,3364258,"66.123320182","23.991140423"
"Inkoo","Björkuddens simplats",6661643,3333088,"60.032760880","24.002078294"
