"TietoLahde,C,254","Nimi,C,254","KoordYkPoh,N,9,1","KoordYkIta,N,9,1"
"Kemiö","Folkhälsan solbad uimaranta",6681572,3269665
"Jalasjärvi","Koskuen leirintäal.uimapaikka",6923669,3285228
"Suodenniemi","Makkosranta",6838442,3279776
"Luoto","Bosund simstrand",7085268,3295891
"Alahärmä","Yliviitalan liikunta-ja hiihtokeskus",7013853,3291529
"Hämeenkyrö","Hirvonjärven uimapaikka",6844082,3280809
"Tammisaari","Padva simstrand",6657013,3268998
"Mouhijärvi","Pääjärven uimapaikka",6823175,3281269
"Vammala","Alasenrannan rantauimala",6811116,3280631
"Kokkola","Långön uimapaikka",7088147,3298568
"Vammala","Kaalisaaren uimala",6810131,3280931
"Vammala","Pororannan rantauimala",6810200,3281163
"Jalasjärvi","Saarijärven uimapaikka",6914796,3287895
"Nurmo","Tanelinrannan uimaranta",6972364,3291609
"Ikaalinen","Kovelahden uimapaikka",6874747,3285427
"Tammisaari","Orvlax simstrand",6658655,3271942
"Tammisaari","Nitlax simstrand",6658643,3271954
"Vammala","Tervakallion uimapaikka",6811270,3282083
"Hanko","Tullstranden",6641492,3271645
"Ikaalinen","Vatulan liikuntakeskus",6852962,3285135
"Lapua","Simpsiön laskettelukeskus",6990283,3294204
"Halikko","Kokkilan rantauimala",6696594,3276202
"Hanko","Lill-Märsan",6643689,3273784
"Halikko","Kankareenjärven uimapaikka",6709963,3278148
"Alahärmä","Haaruksen uimapaikka",7023793,3297783
"Hanko","Regatta-stranden",6641197,3274213
"Lapua","Simpsiön kilpahiihtokeskus",6990978,3295954
"Lapua","Saarenkankaan uimapaikka",6991608,3296039
"Hanko","Plagen-Långsanda",6641570,3274952
"Mouhijärvi","Uotsolan uimaranta",6829204,3287282
"Mouhijärvi","Alkeislaskettelurinne",6829178,3287377
"Ikaalinen","Heittolan yhteisranta",6868329,3289810
"Kokkola","Palman uimapaikka",7086718,3303691
"Ikaalinen","Mainingin laskettelukeskus",6858747,3289636
"Mouhijärvi","Iirolan uimapaikka",6828410,3287945
"Tammisaari","Furutorp simstrand",6659455,3278701
"Kokkola","Lahdenperän rantauimala",7087503,3305458
"Ikaalinen","Uimapaikka",6858796,3291398
"Ikaalinen","Toivolansaaren uimaranta",6858453,3291494
"Halikko","Märynummen rantauimala",6710351,3282793
"Närpiö","Tjärlax simplats",6939480,3202046
"Maalahti","Vägvik simstrand",6987735,3212205
"Uusikaupunki","Karhuluodon uimaranta",6759944,3192564
"Uusikaupunki","Santtion rantauimala",6757402,3195313
"Uusikaupunki","Raulion uimaranta",6767092,3196396
"Maalahti","Åminne simstrand",6997841,3220635
"Vaasa","Paratiisisaari",7010123,3227113
"Vaasa","Hietasaari",7010480,3227325
"Vaasa","Kustaanlinnan uimala",7009227,3228174
"Siikainen","Otamon uimapaikka",6868988,3224325
"Siikainen","Kunnannokan uimapaikka",6875129,3227650
"Siikainen","Eteläpään uimapaikka",6875271,3228938
"Lappi","Kunnan uimaranta",6782679,3224315
